article_number,product_description,category,location,unit,supplier,stock,safety_stock,product_name
10000100,Collector weight 12kg in PE,Collector,Collector,PC,VEN01111 Debe Flow Group AB,100,20,Collector weight 12kg in PE
10000110,Collector weight 15kg steel,Collector,Collector,PC,VEN01111 Debe Flow Group AB,100,20,Collector weight 15kg steel
10000120,Collector weight 20kg steel,Collector,Collector,PC,VEN01111 Debe Flow Group AB,100,20,Collector weight 20kg steel
10000130,Collector weight 25kg steel,Collector,Collector,PC,VEN01111 Debe Flow Group AB,100,20,Collector weight 25kg steel
14006010,"Collector 2x40mm 60m SDR17 PN10 included weight in PE 12,5kg",Collector,Collector,PC,VEN01111 Debe Flow Group AB,100,20,Collector 2x40 60m SDR17 PN10 PE 12.5kg
14007010,"Collector 2x40mm 70m SDR17 PN10 included weight in PE 12,5kg",Collector,Collector,PC,VEN01111 Debe Flow Group AB,100,20,Collector 2x40 70m SDR17 PN10 PE 12.5kg
14008010,"Collector 2x40mm 80m SDR17 PN10 included weight in PE 12,5kg",Collector,Collector,PC,VEN01111 Debe Flow Group AB,100,20,Collector 2x40 80m SDR17 PN10 PE 12.5kg
14009010,"Collector 2x40mm 90m SDR17 PN10 included weight in PE 12,5kg",Collector,Collector,PC,VEN01111 Debe Flow Group AB,100,20,Collector 2x40 90m SDR17 PN10 PE 12.5kg
14010010,"Collector 2x40mm 100m SDR17 PN10 included weight in PE 12,5kg",Collector,Collector,PC,VEN01111 Debe Flow Group AB,100,20,Collector 2x40 100m SDR17 PN10 PE 12.5kg
14011010,"Collector 2x40mm 110m SDR17 PN10 included weight in PE 12,5kg",Collector,Collector,PC,VEN01111 Debe Flow Group AB,100,20,Collector 2x40 110m SDR17 PN10 PE 12.5kg
14012010,"Collector 2x40mm 120m SDR17 PN10 included weight in PE 12,5kg",Collector,Collector,PC,VEN01111 Debe Flow Group AB,100,20,Collector 2x40 120m SDR17 PN10 PE 12.5kg
14013010,"Collector 2x40mm 130m SDR17 PN10 included weight in PE 12,5kg",Collector,Collector,PC,VEN01111 Debe Flow Group AB,100,20,Collector 2x40 130m SDR17 PN10 PE 12.5kg
14014010,"Collector 2x40mm 140m SDR17 PN10 included weight in PE 12,5kg",Collector,Collector,PC,VEN01111 Debe Flow Group AB,100,20,Collector 2x40 140m SDR17 PN10 PE 12.5kg
14015010,"Collector 2x40mm 150m SDR17 PN10 included weight in PE 12,5kg",Collector,Collector,PC,VEN01111 Debe Flow Group AB,100,20,Collector 2x40 150m SDR17 PN10 PE 12.5kg
14016010,"Collector 2x40mm 160m SDR17 PN10 included weight in PE 12,5kg",Collector,Collector,PC,VEN01111 Debe Flow Group AB,100,20,Collector 2x40 160m SDR17 PN10 PE 12.5kg
